Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
435000,1850,HOUSE,HOUSE,TO_RENOVATE,4,291.0,0,0.0,1.0,392.0,3.0,0.0,0.0,Grimbergen,Flemish Brabant
395000,1140,APARTMENT,APARTMENT,AS_NEW,3,110.0,0,1.0,1.0,0.0,2.0,0.0,1.0,Evere,Brussels Capital
305000,9770,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Kruisem,East Flanders
595000,1180,APARTMENT,APARTMENT,AS_NEW,2,85.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Uccle,Brussels Capital
325000,1190,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,1.0,0.0,3.0,0.0,1.0,Forest,Brussels Capital
175000,8400,APARTMENT,APARTMENT,GOOD,1,70.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
165000,9120,APARTMENT,APARTMENT,TO_RENOVATE,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Beveren,East Flanders
430000,2200,HOUSE,HOUSE,GOOD,3,195.0,0,1.0,0.0,282.0,3.0,0.0,0.0,Herentals,Antwerp
285000,2930,APARTMENT,APARTMENT,AS_NEW,2,77.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Brasschaat,Antwerp
398500,1080,HOUSE,HOUSE,TO_BE_DONE_UP,4,179.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Molenbeek-Saint-Jean,Brussels Capital
145000,2140,APARTMENT,APARTMENT,GOOD,1,59.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
485000,1410,APARTMENT,APARTMENT,GOOD,1,76.0,1,1.0,0.0,0.0,3.0,1.0,1.0,Waterloo,Walloon Brabant
319000,3800,HOUSE,HOUSE,GOOD,3,157.0,0,0.0,0.0,172.0,3.0,0.0,0.0,Sint-Truiden,Limburg
398000,3001,APARTMENT,APARTMENT,GOOD,2,96.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Leuven,Flemish Brabant
180000,6747,HOUSE,HOUSE,TO_RENOVATE,4,190.0,0,0.0,1.0,370.0,2.0,0.0,0.0,Saint-Léger,Luxembourg
253000,9300,APARTMENT,APARTMENT,GOOD,2,116.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Aalst,East Flanders
360000,2800,HOUSE,HOUSE,GOOD,2,99.0,0,1.0,0.0,117.0,2.0,0.0,0.0,Mechelen,Antwerp
219000,9032,APARTMENT,GROUND_FLOOR,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
399000,1200,APARTMENT,APARTMENT,GOOD,2,95.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital
249000,4420,HOUSE,HOUSE,GOOD,4,170.0,0,1.0,1.0,438.0,2.0,0.0,0.0,Saint-Nicolas,Liège
439000,4845,HOUSE,HOUSE,GOOD,4,230.0,0,1.0,1.0,310.0,3.0,0.0,0.0,Jalhay,Liège
665000,8300,APARTMENT,APARTMENT,GOOD,2,75.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other
349000,9000,APARTMENT,APARTMENT,JUST_RENOVATED,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
185000,8620,APARTMENT,APARTMENT,GOOD,1,52.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Nieuwpoort,Other
299000,8000,HOUSE,HOUSE,TO_RENOVATE,2,133.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Brugge,Other
295000,9900,APARTMENT,APARTMENT,GOOD,2,98.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Eeklo,East Flanders
235000,4000,APARTMENT,APARTMENT,AS_NEW,2,112.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège
230000,1602,APARTMENT,APARTMENT,GOOD,2,66.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Sint-Pieters-Leeuw,Flemish Brabant
259000,8500,HOUSE,HOUSE,GOOD,3,146.0,0,0.0,0.0,60.0,2.0,0.0,0.0,Kortrijk,Other
375000,2500,HOUSE,HOUSE,GOOD,2,153.0,0,0.0,1.0,190.0,2.0,0.0,0.0,Lier,Antwerp
479000,1457,HOUSE,HOUSE,GOOD,3,134.0,1,1.0,1.0,706.0,4.0,0.0,0.0,Walhain,Walloon Brabant
469000,1080,APARTMENT,PENTHOUSE,AS_NEW,2,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital
229000,2300,HOUSE,HOUSE,GOOD,2,106.0,0,0.0,1.0,97.0,3.0,0.0,0.0,Turnhout,Antwerp
267169,8972,HOUSE,HOUSE,GOOD,3,134.0,0,0.0,1.0,224.0,3.0,0.0,0.0,Poperinge,Other
349000,1740,HOUSE,HOUSE,TO_BE_DONE_UP,3,215.0,0,1.0,1.0,250.0,3.0,0.0,0.0,Ternat,Flemish Brabant
295000,4030,APARTMENT,APARTMENT,GOOD,2,109.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Liège,Liège
195000,6211,HOUSE,HOUSE,JUST_RENOVATED,3,152.0,0,1.0,1.0,125.0,3.0,0.0,0.0,Les Bons Villers,Hainaut
225000,8510,HOUSE,HOUSE,GOOD,4,151.0,0,0.0,0.0,0.0,3.0,0.0,0.0,Kortrijk,Other
325000,4451,HOUSE,HOUSE,GOOD,3,167.0,0,1.0,1.0,739.0,3.0,0.0,0.0,Juprelle,Liège
248300,2440,APARTMENT,APARTMENT,GOOD,1,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Geel,Antwerp
430000,1070,HOUSE,APARTMENT_BLOCK,AS_NEW,3,161.0,0,1.0,1.0,115.0,2.0,0.0,0.0,Anderlecht,Brussels Capital
169000,4920,HOUSE,MIXED_USE_BUILDING,JUST_RENOVATED,2,110.0,0,1.0,0.0,85.0,2.0,0.0,0.0,Aywaille,Liège
299000,8430,APARTMENT,APARTMENT,GOOD,1,60.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other
239000,9800,HOUSE,HOUSE,TO_RENOVATE,3,128.0,0,1.0,1.0,501.0,4.0,0.0,0.0,Deinze,East Flanders
385000,9310,HOUSE,HOUSE,GOOD,4,152.0,1,1.0,0.0,525.0,4.0,0.0,0.0,Aalst,East Flanders
289000,8434,APARTMENT,APARTMENT,JUST_RENOVATED,2,66.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other
730000,1050,APARTMENT,APARTMENT,GOOD,3,215.0,1,0.0,0.0,0.0,3.0,0.0,1.0,Ixelles,Brussels Capital
157500,8400,APARTMENT,APARTMENT,GOOD,2,60.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
165000,8600,HOUSE,HOUSE,TO_RENOVATE,3,154.0,0,0.0,0.0,264.0,3.0,0.0,0.0,Diksmuide,Other
199000,1880,APARTMENT,GROUND_FLOOR,TO_RENOVATE,2,75.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Kapelle-op-den-Bos,Flemish Brabant
425000,2600,HOUSE,HOUSE,JUST_RENOVATED,3,138.0,0,1.0,0.0,65.0,3.0,0.0,0.0,Antwerpen,Antwerp
330000,7090,HOUSE,HOUSE,GOOD,4,150.0,0,1.0,1.0,453.0,3.0,0.0,0.0,Braine-le-Comte,Hainaut
235000,1082,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Berchem-Sainte-Agathe,Brussels Capital
289500,2180,APARTMENT,APARTMENT,JUST_RENOVATED,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
